Downloaded on:;23/12/2024 12:03 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;11.72€/MWh
MAE;15.21%
RMSE;15.78€/MWh
RMSE;20.48%
Syst. Error;0.59€/MWh
Syst. Error (% Observation);0.77%
Pearson's r;0.94

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Price average forecast ECMWF ENS France day-ahead (€/MWh);Price observation France day-ahead (€/MWh)
01/01/2023 00:00;01/01/2023 01:00;-2.20;0.00
01/01/2023 01:00;01/01/2023 02:00;-6.23;-0.10
01/01/2023 02:00;01/01/2023 03:00;-5.29;-1.33
01/01/2023 03:00;01/01/2023 04:00;-10.17;-4.08
01/01/2023 04:00;01/01/2023 05:00;-12.04;-4.16
01/01/2023 05:00;01/01/2023 06:00;-12.95;-3.58
01/01/2023 06:00;01/01/2023 07:00;-11.89;-4.37
01/01/2023 07:00;01/01/2023 08:00;-10.65;-0.12
01/01/2023 08:00;01/01/2023 09:00;-5.18;-0.06
01/01/2023 09:00;01/01/2023 10:00;-2.15;0.00
01/01/2023 10:00;01/01/2023 11:00;-1.44;0.00
01/01/2023 11:00;01/01/2023 12:00;-1.73;0.00
01/01/2023 12:00;01/01/2023 13:00;2.68;0.00
01/01/2023 13:00;01/01/2023 14:00;5.56;0.10
01/01/2023 14:00;01/01/2023 15:00;14.74;1.50
01/01/2023 15:00;01/01/2023 16:00;25.39;23.50
01/01/2023 16:00;01/01/2023 17:00;37.49;36.54
01/01/2023 17:00;01/01/2023 18:00;47.69;46.03
01/01/2023 18:00;01/01/2023 19:00;55.08;44.43
01/01/2023 19:00;01/01/2023 20:00;64.44;54.95
01/01/2023 20:00;01/01/2023 21:00;62.40;47.38
01/01/2023 21:00;01/01/2023 22:00;58.59;40.24
01/01/2023 22:00;01/01/2023 23:00;58.33;45.96
01/01/2023 23:00;02/01/2023 00:00;57.03;35.00
02/01/2023 00:00;02/01/2023 01:00;29.26;61.38
02/01/2023 01:00;02/01/2023 02:00;28.82;52.68
02/01/2023 02:00;02/01/2023 03:00;27.09;52.93
02/01/2023 03:00;02/01/2023 04:00;21.34;42.75
02/01/2023 04:00;02/01/2023 05:00;22.43;50.08
02/01/2023 05:00;02/01/2023 06:00;28.27;67.91
02/01/2023 06:00;02/01/2023 07:00;49.35;105.08
02/01/2023 07:00;02/01/2023 08:00;67.93;140.64
02/01/2023 08:00;02/01/2023 09:00;87.60;149.80
02/01/2023 09:00;02/01/2023 10:00;97.48;154.66
02/01/2023 10:00;02/01/2023 11:00;91.26;145.61
02/01/2023 11:00;02/01/2023 12:00;93.70;143.35
02/01/2023 12:00;02/01/2023 13:00;94.68;144.38
02/01/2023 13:00;02/01/2023 14:00;94.69;143.76
02/01/2023 14:00;02/01/2023 15:00;102.48;148.20
02/01/2023 15:00;02/01/2023 16:00;105.56;155.34
02/01/2023 16:00;02/01/2023 17:00;112.12;163.17
02/01/2023 17:00;02/01/2023 18:00;129.69;173.80
02/01/2023 18:00;02/01/2023 19:00;133.13;174.74
02/01/2023 19:00;02/01/2023 20:00;130.51;165.76
02/01/2023 20:00;02/01/2023 21:00;117.97;153.00
02/01/2023 21:00;02/01/2023 22:00;97.53;141.67
02/01/2023 22:00;02/01/2023 23:00;91.22;134.91
02/01/2023 23:00;03/01/2023 00:00;86.23;124.22
03/01/2023 00:00;03/01/2023 01:00;103.23;130.01
03/01/2023 01:00;03/01/2023 02:00;97.45;120.00
03/01/2023 02:00;03/01/2023 03:00;94.32;118.76
03/01/2023 03:00;03/01/2023 04:00;88.56;115.00
03/01/2023 04:00;03/01/2023 05:00;84.85;113.63
03/01/2023 05:00;03/01/2023 06:00;84.77;116.27
03/01/2023 06:00;03/01/2023 07:00;98.45;138.92
03/01/2023 07:00;03/01/2023 08:00;127.83;159.92
03/01/2023 08:00;03/01/2023 09:00;143.52;169.17
03/01/2023 09:00;03/01/2023 10:00;144.04;171.18
03/01/2023 10:00;03/01/2023 11:00;132.18;168.57
03/01/2023 11:00;03/01/2023 12:00;118.43;169.49
03/01/2023 12:00;03/01/2023 13:00;108.39;164.50
03/01/2023 13:00;03/01/2023 14:00;102.50;160.91
03/01/2023 14:00;03/01/2023 15:00;109.38;163.06
03/01/2023 15:00;03/01/2023 16:00;119.76;166.46
03/01/2023 16:00;03/01/2023 17:00;123.46;166.88
03/01/2023 17:00;03/01/2023 18:00;131.45;171.23
03/01/2023 18:00;03/01/2023 19:00;134.46;169.01
