Downloaded on:;23/12/2024 12:00 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.59GW
MAE;9.09%
RMSE;0.77GW
RMSE;11.90%
Syst. Error;0.01GW
Syst. Error (% Observation);0.22%
Pearson's r;0.93

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Hydro generation Total forecast Meteologica France (GW);Hydro generation Total observation France (GW)
01/01/2023 00:00;01/01/2023 01:00;5.49;5.42
01/01/2023 01:00;01/01/2023 02:00;5.21;5.46
01/01/2023 02:00;01/01/2023 03:00;4.81;4.89
01/01/2023 03:00;01/01/2023 04:00;4.65;
01/01/2023 04:00;01/01/2023 05:00;4.49;
01/01/2023 05:00;01/01/2023 06:00;4.48;
01/01/2023 06:00;01/01/2023 07:00;4.39;
01/01/2023 07:00;01/01/2023 08:00;4.47;
01/01/2023 08:00;01/01/2023 09:00;4.51;
01/01/2023 09:00;01/01/2023 10:00;4.48;
01/01/2023 10:00;01/01/2023 11:00;4.73;4.69
01/01/2023 11:00;01/01/2023 12:00;5.04;4.74
01/01/2023 12:00;01/01/2023 13:00;5.46;5.70
01/01/2023 13:00;01/01/2023 14:00;5.64;6.76
01/01/2023 14:00;01/01/2023 15:00;5.52;6.97
01/01/2023 15:00;01/01/2023 16:00;5.30;7.01
01/01/2023 16:00;01/01/2023 17:00;5.48;6.48
01/01/2023 17:00;01/01/2023 18:00;5.50;7.43
01/01/2023 18:00;01/01/2023 19:00;6.04;7.35
01/01/2023 19:00;01/01/2023 20:00;6.56;6.93
01/01/2023 20:00;01/01/2023 21:00;6.10;6.37
01/01/2023 21:00;01/01/2023 22:00;5.40;5.95
01/01/2023 22:00;01/01/2023 23:00;4.92;5.76
01/01/2023 23:00;02/01/2023 00:00;4.91;5.62
02/01/2023 00:00;02/01/2023 01:00;4.62;5.48
02/01/2023 01:00;02/01/2023 02:00;4.37;5.09
02/01/2023 02:00;02/01/2023 03:00;4.41;5.04
02/01/2023 03:00;02/01/2023 04:00;4.37;4.82
02/01/2023 04:00;02/01/2023 05:00;4.36;4.65
02/01/2023 05:00;02/01/2023 06:00;4.31;4.76
02/01/2023 06:00;02/01/2023 07:00;4.45;5.62
02/01/2023 07:00;02/01/2023 08:00;4.87;6.33
02/01/2023 08:00;02/01/2023 09:00;5.70;6.75
02/01/2023 09:00;02/01/2023 10:00;6.35;6.41
02/01/2023 10:00;02/01/2023 11:00;6.52;6.41
02/01/2023 11:00;02/01/2023 12:00;6.44;6.38
02/01/2023 12:00;02/01/2023 13:00;6.41;6.22
02/01/2023 13:00;02/01/2023 14:00;6.45;5.89
02/01/2023 14:00;02/01/2023 15:00;6.38;6.02
02/01/2023 15:00;02/01/2023 16:00;6.32;6.01
02/01/2023 16:00;02/01/2023 17:00;6.59;6.56
02/01/2023 17:00;02/01/2023 18:00;7.07;7.65
02/01/2023 18:00;02/01/2023 19:00;7.69;8.40
02/01/2023 19:00;02/01/2023 20:00;7.88;7.76
