flow_date,as_of,kpler,rte,actuals
2023-01-01 00:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 01:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 02:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 03:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 04:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 05:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 06:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 07:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 08:00:00,2022-12-31 11:00:00,34007.43,33375.0,32000.0
2023-01-01 09:00:00,2022-12-31 11:00:00,33380.29,32735.0,31360.0
2023-01-01 10:00:00,2022-12-31 11:00:00,33380.29,32735.0,31360.0
2023-01-01 11:00:00,2022-12-31 11:00:00,33380.29,32735.0,31360.0
2023-01-01 12:00:00,2022-12-31 11:00:00,33380.29,33375.0,32000.0
2023-01-01 13:00:00,2022-12-31 11:00:00,33380.29,34040.0,32000.0
2023-01-01 14:00:00,2022-12-31 11:00:00,34311.2,35655.0,33603.0
2023-01-01 15:00:00,2022-12-31 11:00:00,34962.83,36320.0,34719.8
2023-01-01 16:00:00,2022-12-31 11:00:00,35614.47,36985.0,34781.0
2023-01-01 17:00:00,2022-12-31 11:00:00,36489.89,37875.0,36128.5
2023-01-01 18:00:00,2022-12-31 11:00:00,37562.02,38332.5,38431.2
2023-01-01 19:00:00,2022-12-31 11:00:00,38010.32,38790.0,39086.3
2023-01-01 20:00:00,2022-12-31 11:00:00,38010.32,38790.0,39003.0
2023-01-01 21:00:00,2022-12-31 11:00:00,38010.32,38790.0,39003.0
2023-01-01 22:00:00,2022-12-31 11:00:00,38010.32,38790.0,38599.5
2023-01-01 23:00:00,2022-12-31 11:00:00,38074.01,38855.0,38196.0
2023-01-02 00:00:00,2023-01-01 11:00:00,38897.13,39671.0,38196.0
2023-01-02 01:00:00,2023-01-01 11:00:00,38897.13,39671.0,37806.0
2023-01-02 02:00:00,2023-01-01 11:00:00,39445.87,40231.0,37416.0
2023-01-02 03:00:00,2023-01-01 11:00:00,39098.01,39876.0,38331.0
2023-01-02 04:00:00,2023-01-01 11:00:00,39994.62,40791.0,39636.0
2023-01-02 05:00:00,2023-01-01 11:00:00,40881.43,42051.0,40931.0
2023-01-02 06:00:00,2023-01-01 11:00:00,41743.74,43286.0,40580.0
2023-01-02 07:00:00,2023-01-01 11:00:00,41743.74,43298.0,40329.0
2023-01-02 08:00:00,2023-01-01 11:00:00,41743.74,43310.0,41031.0
2023-01-02 09:00:00,2023-01-01 11:00:00,41743.74,43310.0,41031.0
