Downloaded on:;23/12/2024 11:58 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.29GW
MAE (% Observation);11.25%
MAE (% Installed cap.);1.75%
RMSE;0.56GW
RMSE (% Observation);21.92%
RMSE (% Installed cap.);3.41%
Syst. Error;-0.10GW
Syst. Error (% Installed cap.);-0.58%
Syst. Error (% Observation);-3.73%
% between percentiles;60.75%
Pearson's r;0.99
Capacity factor (% Installed cap.);15.55

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Photovoltaic percentile 10 forecast Meteologica France (GW);Photovoltaic forecast Meteologica France (GW);Photovoltaic percentile 90 forecast Meteologica France (GW);Photovoltaic observation France (GW)
01/01/2023 00:00;01/01/2023 01:00;0.00;0.00;0.00;0.00
01/01/2023 01:00;01/01/2023 02:00;0.00;0.00;0.00;0.00
01/01/2023 02:00;01/01/2023 03:00;0.00;0.00;0.00;0.00
01/01/2023 03:00;01/01/2023 04:00;0.00;0.00;0.00;0.00
01/01/2023 04:00;01/01/2023 05:00;0.00;0.00;0.00;0.00
01/01/2023 05:00;01/01/2023 06:00;0.00;0.00;0.00;0.00
01/01/2023 06:00;01/01/2023 07:00;0.00;0.00;0.00;0.00
01/01/2023 07:00;01/01/2023 08:00;0.00;0.00;0.00;0.00
01/01/2023 08:00;01/01/2023 09:00;0.17;0.19;0.21;0.27
01/01/2023 09:00;01/01/2023 10:00;0.80;0.90;0.98;0.87
01/01/2023 10:00;01/01/2023 11:00;1.84;2.04;2.25;1.96
01/01/2023 11:00;01/01/2023 12:00;2.97;3.23;3.50;2.86
01/01/2023 12:00;01/01/2023 13:00;3.57;3.89;4.20;3.35
01/01/2023 13:00;01/01/2023 14:00;3.45;3.84;4.23;3.13
01/01/2023 14:00;01/01/2023 15:00;2.72;3.17;3.61;2.39
01/01/2023 15:00;01/01/2023 16:00;1.56;1.91;2.26;1.46
01/01/2023 16:00;01/01/2023 17:00;0.60;0.74;0.88;0.55
01/01/2023 17:00;01/01/2023 18:00;0.13;0.16;0.19;0.21
01/01/2023 18:00;01/01/2023 19:00;0.00;0.00;0.00;0.19
01/01/2023 19:00;01/01/2023 20:00;0.00;0.00;0.00;0.00
01/01/2023 20:00;01/01/2023 21:00;0.00;0.00;0.00;0.00
01/01/2023 21:00;01/01/2023 22:00;0.00;0.00;0.00;0.00
01/01/2023 22:00;01/01/2023 23:00;0.00;0.00;0.00;0.00
01/01/2023 23:00;02/01/2023 00:00;0.00;0.00;0.00;0.00
02/01/2023 00:00;02/01/2023 01:00;0.00;0.00;0.00;0.00
02/01/2023 01:00;02/01/2023 02:00;0.00;0.00;0.00;0.00
