Downloaded on:;23/12/2024 11:56 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.54GW
MAE (% Observation);10.14%
MAE (% Installed cap.);2.34%
RMSE;0.77GW
RMSE (% Observation);14.60%
RMSE (% Installed cap.);3.37%
Syst. Error;-0.17GW
Syst. Error (% Installed cap.);-0.73%
Syst. Error (% Observation);-3.15%
% between percentiles;89.35%
Pearson's r;0.98
Capacity factor (% Installed cap.);23.10

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Wind power percentile 10 forecast Meteologica France (GW);Wind power forecast Meteologica France (GW);Wind power percentile 90 forecast Meteologica France (GW);Wind power observation France (GW)
01/01/2023 00:00;01/01/2023 01:00;;;;
01/01/2023 01:00;01/01/2023 02:00;;;;
01/01/2023 02:00;01/01/2023 03:00;;;;
01/01/2023 03:00;01/01/2023 04:00;;;;
01/01/2023 04:00;01/01/2023 05:00;;;;
01/01/2023 05:00;01/01/2023 06:00;;;;
01/01/2023 06:00;01/01/2023 07:00;;;;
01/01/2023 07:00;01/01/2023 08:00;;;;
01/01/2023 08:00;01/01/2023 09:00;;;;
01/01/2023 09:00;01/01/2023 10:00;;;;
01/01/2023 10:00;01/01/2023 11:00;;;;
01/01/2023 11:00;01/01/2023 12:00;;;;
01/01/2023 12:00;01/01/2023 13:00;;;;
01/01/2023 13:00;01/01/2023 14:00;;;;
01/01/2023 14:00;01/01/2023 15:00;;;;
01/01/2023 15:00;01/01/2023 16:00;;;;
01/01/2023 16:00;01/01/2023 17:00;;;;
01/01/2023 17:00;01/01/2023 18:00;;;;
01/01/2023 18:00;01/01/2023 19:00;;;;
01/01/2023 19:00;01/01/2023 20:00;;;;
01/01/2023 20:00;01/01/2023 21:00;;;;
01/01/2023 21:00;01/01/2023 22:00;;;;
01/01/2023 22:00;01/01/2023 23:00;;;;
01/01/2023 23:00;02/01/2023 00:00;;;;
02/01/2023 00:00;02/01/2023 01:00;;;;
02/01/2023 01:00;02/01/2023 02:00;;;;
02/01/2023 02:00;02/01/2023 03:00;;;;
02/01/2023 03:00;02/01/2023 04:00;;;;
02/01/2023 04:00;02/01/2023 05:00;;;;
02/01/2023 05:00;02/01/2023 06:00;;;;
02/01/2023 06:00;02/01/2023 07:00;;;;
02/01/2023 07:00;02/01/2023 08:00;;;;
02/01/2023 08:00;02/01/2023 09:00;;;;
02/01/2023 09:00;02/01/2023 10:00;;;;
02/01/2023 10:00;02/01/2023 11:00;;;;
02/01/2023 11:00;02/01/2023 12:00;;;;
02/01/2023 12:00;02/01/2023 13:00;;;;
02/01/2023 13:00;02/01/2023 14:00;;;;
02/01/2023 14:00;02/01/2023 15:00;;;;
02/01/2023 15:00;02/01/2023 16:00;;;;
02/01/2023 16:00;02/01/2023 17:00;;;;
02/01/2023 17:00;02/01/2023 18:00;;;;
02/01/2023 18:00;02/01/2023 19:00;;;;
02/01/2023 19:00;02/01/2023 20:00;;;;
02/01/2023 20:00;02/01/2023 21:00;;;;
02/01/2023 21:00;02/01/2023 22:00;;;;
02/01/2023 22:00;02/01/2023 23:00;;;;
02/01/2023 23:00;03/01/2023 00:00;;;;
03/01/2023 00:00;03/01/2023 01:00;;;;
03/01/2023 01:00;03/01/2023 02:00;;;;
03/01/2023 02:00;03/01/2023 03:00;;;;
03/01/2023 03:00;03/01/2023 04:00;;;;
03/01/2023 04:00;03/01/2023 05:00;;;;
03/01/2023 05:00;03/01/2023 06:00;;;;
03/01/2023 06:00;03/01/2023 07:00;;;;
03/01/2023 07:00;03/01/2023 08:00;;;;
03/01/2023 08:00;03/01/2023 09:00;;;;
03/01/2023 09:00;03/01/2023 10:00;;;;
03/01/2023 10:00;03/01/2023 11:00;;;;
03/01/2023 11:00;03/01/2023 12:00;;;;
03/01/2023 12:00;03/01/2023 13:00;;;;
03/01/2023 13:00;03/01/2023 14:00;;;;
03/01/2023 14:00;03/01/2023 15:00;;;;
03/01/2023 15:00;03/01/2023 16:00;;;;
03/01/2023 16:00;03/01/2023 17:00;;;;
03/01/2023 17:00;03/01/2023 18:00;;;;
03/01/2023 18:00;03/01/2023 19:00;;;;
03/01/2023 19:00;03/01/2023 20:00;;;;
03/01/2023 20:00;03/01/2023 21:00;;;;
03/01/2023 21:00;03/01/2023 22:00;;;;
03/01/2023 22:00;03/01/2023 23:00;;;;
03/01/2023 23:00;04/01/2023 00:00;;;;
04/01/2023 00:00;04/01/2023 01:00;;;;
04/01/2023 01:00;04/01/2023 02:00;;;;
04/01/2023 02:00;04/01/2023 03:00;;;;
04/01/2023 03:00;04/01/2023 04:00;;;;
04/01/2023 04:00;04/01/2023 05:00;;;;
04/01/2023 05:00;04/01/2023 06:00;;;;
04/01/2023 06:00;04/01/2023 07:00;;;;
04/01/2023 07:00;04/01/2023 08:00;;;;
04/01/2023 08:00;04/01/2023 09:00;;;;
04/01/2023 09:00;04/01/2023 10:00;;;;
04/01/2023 10:00;04/01/2023 11:00;;;;
04/01/2023 11:00;04/01/2023 12:00;;;;
04/01/2023 12:00;04/01/2023 13:00;;;;
04/01/2023 13:00;04/01/2023 14:00;;;;
04/01/2023 14:00;04/01/2023 15:00;;;;
04/01/2023 15:00;04/01/2023 16:00;;;;
04/01/2023 16:00;04/01/2023 17:00;;;;
04/01/2023 17:00;04/01/2023 18:00;;;;
04/01/2023 18:00;04/01/2023 19:00;;;;
04/01/2023 19:00;04/01/2023 20:00;;;;
04/01/2023 20:00;04/01/2023 21:00;;;;
04/01/2023 21:00;04/01/2023 22:00;;;;
04/01/2023 22:00;04/01/2023 23:00;;;;
04/01/2023 23:00;05/01/2023 00:00;;;;
05/01/2023 00:00;05/01/2023 01:00;;;;
05/01/2023 01:00;05/01/2023 02:00;;;;
05/01/2023 02:00;05/01/2023 03:00;;;;
05/01/2023 03:00;05/01/2023 04:00;;;;
05/01/2023 04:00;05/01/2023 05:00;;;;
05/01/2023 05:00;05/01/2023 06:00;;;;
05/01/2023 06:00;05/01/2023 07:00;;;;
05/01/2023 07:00;05/01/2023 08:00;;;;
05/01/2023 08:00;05/01/2023 09:00;;;;
05/01/2023 09:00;05/01/2023 10:00;;;;
05/01/2023 10:00;05/01/2023 11:00;;;;
05/01/2023 11:00;05/01/2023 12:00;;;;
05/01/2023 12:00;05/01/2023 13:00;;;;
05/01/2023 13:00;05/01/2023 14:00;;;;
05/01/2023 14:00;05/01/2023 15:00;;;;
05/01/2023 15:00;05/01/2023 16:00;;;;
05/01/2023 16:00;05/01/2023 17:00;;;;
05/01/2023 17:00;05/01/2023 18:00;;;;
05/01/2023 18:00;05/01/2023 19:00;;;;
05/01/2023 19:00;05/01/2023 20:00;;;;
05/01/2023 20:00;05/01/2023 21:00;;;;
05/01/2023 21:00;05/01/2023 22:00;;;;
05/01/2023 22:00;05/01/2023 23:00;;;;
05/01/2023 23:00;06/01/2023 00:00;;;;
06/01/2023 00:00;06/01/2023 01:00;;;;
06/01/2023 01:00;06/01/2023 02:00;;;;
06/01/2023 02:00;06/01/2023 03:00;;;;
06/01/2023 03:00;06/01/2023 04:00;;;;
06/01/2023 04:00;06/01/2023 05:00;;;;
06/01/2023 05:00;06/01/2023 06:00;;;;
06/01/2023 06:00;06/01/2023 07:00;;;;
06/01/2023 07:00;06/01/2023 08:00;;;;
06/01/2023 08:00;06/01/2023 09:00;;;;
06/01/2023 09:00;06/01/2023 10:00;;;;
06/01/2023 10:00;06/01/2023 11:00;;;;
06/01/2023 11:00;06/01/2023 12:00;;;;
06/01/2023 12:00;06/01/2023 13:00;;;;
06/01/2023 13:00;06/01/2023 14:00;;;;
06/01/2023 14:00;06/01/2023 15:00;;;;
06/01/2023 15:00;06/01/2023 16:00;;;;
06/01/2023 16:00;06/01/2023 17:00;;;;
06/01/2023 17:00;06/01/2023 18:00;;;;
06/01/2023 18:00;06/01/2023 19:00;;;;
06/01/2023 19:00;06/01/2023 20:00;;;;
06/01/2023 20:00;06/01/2023 21:00;;;;
06/01/2023 21:00;06/01/2023 22:00;;;;
06/01/2023 22:00;06/01/2023 23:00;;;;
06/01/2023 23:00;07/01/2023 00:00;;;;
07/01/2023 00:00;07/01/2023 01:00;;;;
07/01/2023 01:00;07/01/2023 02:00;;;;
07/01/2023 02:00;07/01/2023 03:00;;;;
07/01/2023 03:00;07/01/2023 04:00;;;;
07/01/2023 04:00;07/01/2023 05:00;;;;
07/01/2023 05:00;07/01/2023 06:00;;;;
07/01/2023 06:00;07/01/2023 07:00;;;;
07/01/2023 07:00;07/01/2023 08:00;;;;
07/01/2023 08:00;07/01/2023 09:00;;;;
07/01/2023 09:00;07/01/2023 10:00;;;;
07/01/2023 10:00;07/01/2023 11:00;;;;
07/01/2023 11:00;07/01/2023 12:00;;;;
07/01/2023 12:00;07/01/2023 13:00;;;;
07/01/2023 13:00;07/01/2023 14:00;;;;
07/01/2023 14:00;07/01/2023 15:00;;;;
07/01/2023 15:00;07/01/2023 16:00;;;;
07/01/2023 16:00;07/01/2023 17:00;;;;
07/01/2023 17:00;07/01/2023 18:00;;;;
07/01/2023 18:00;07/01/2023 19:00;;;;
07/01/2023 19:00;07/01/2023 20:00;;;;
07/01/2023 20:00;07/01/2023 21:00;;;;
07/01/2023 21:00;07/01/2023 22:00;;;;
07/01/2023 22:00;07/01/2023 23:00;;;;
07/01/2023 23:00;08/01/2023 00:00;;;;
08/01/2023 00:00;08/01/2023 01:00;;;;
08/01/2023 01:00;08/01/2023 02:00;;;;
08/01/2023 02:00;08/01/2023 03:00;;;;
08/01/2023 03:00;08/01/2023 04:00;;;;
08/01/2023 04:00;08/01/2023 05:00;;;;
08/01/2023 05:00;08/01/2023 06:00;;;;
08/01/2023 06:00;08/01/2023 07:00;;;;
08/01/2023 07:00;08/01/2023 08:00;;;;
08/01/2023 08:00;08/01/2023 09:00;;;;
08/01/2023 09:00;08/01/2023 10:00;;;;
08/01/2023 10:00;08/01/2023 11:00;;;;
08/01/2023 11:00;08/01/2023 12:00;;;;
08/01/2023 12:00;08/01/2023 13:00;;;;
