Downloaded on:;23/12/2024 11:53 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.53GW
MAE (% Observation);7.62%
MAE (% Installed cap.);0.78%
RMSE;1.09GW
RMSE (% Observation);15.73%
RMSE (% Installed cap.);1.60%
Syst. Error;-0.03GW
Syst. Error (% Installed cap.);-0.04%
Syst. Error (% Observation);-0.36%
% between percentiles;72.94%
Pearson's r;0.99
Capacity factor (% Installed cap.);10.18

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Photovoltaic percentile 10 forecast Meteologica Germany National (GW);Photovoltaic forecast Meteologica Germany National (GW);Photovoltaic percentile 90 forecast Meteologica Germany National (GW);Photovoltaic observation Germany National (GW)
01/01/2023 00:00;01/01/2023 01:00;0.00;0.00;0.00;0.00
01/01/2023 01:00;01/01/2023 02:00;0.00;0.00;0.00;0.00
01/01/2023 02:00;01/01/2023 03:00;0.00;0.00;0.00;0.00
01/01/2023 03:00;01/01/2023 04:00;0.00;0.00;0.00;0.00
01/01/2023 04:00;01/01/2023 05:00;0.00;0.00;0.00;0.00
01/01/2023 05:00;01/01/2023 06:00;0.00;0.00;0.00;0.00
01/01/2023 06:00;01/01/2023 07:00;0.00;0.00;0.00;0.00
01/01/2023 07:00;01/01/2023 08:00;0.00;0.00;0.00;0.00
01/01/2023 08:00;01/01/2023 09:00;0.56;0.63;0.69;0.54
01/01/2023 09:00;01/01/2023 10:00;2.83;3.12;3.42;3.54
01/01/2023 10:00;01/01/2023 11:00;5.72;6.30;6.90;6.71
01/01/2023 11:00;01/01/2023 12:00;7.78;8.55;9.33;8.82
01/01/2023 12:00;01/01/2023 13:00;8.25;9.05;9.86;9.25
01/01/2023 13:00;01/01/2023 14:00;6.75;7.46;8.22;8.09
01/01/2023 14:00;01/01/2023 15:00;4.02;4.55;5.12;5.22
01/01/2023 15:00;01/01/2023 16:00;1.48;1.74;2.02;1.91
01/01/2023 16:00;01/01/2023 17:00;0.20;0.26;0.32;0.11
01/01/2023 17:00;01/01/2023 18:00;0.00;0.00;0.00;0.00
01/01/2023 18:00;01/01/2023 19:00;0.00;0.00;0.00;0.00
01/01/2023 19:00;01/01/2023 20:00;0.00;0.00;0.00;0.00
01/01/2023 20:00;01/01/2023 21:00;0.00;0.00;0.00;0.00
01/01/2023 21:00;01/01/2023 22:00;0.00;0.00;0.00;0.00
01/01/2023 22:00;01/01/2023 23:00;0.00;0.00;0.00;0.00
01/01/2023 23:00;02/01/2023 00:00;0.00;0.00;0.00;0.00
02/01/2023 00:00;02/01/2023 01:00;0.00;0.00;0.00;0.00
02/01/2023 01:00;02/01/2023 02:00;0.00;0.00;0.00;0.00
