Downloaded on:;23/12/2024 11:42 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;1.50GW
MAE (% Observation);9.49%
MAE (% Installed cap.);2.24%
RMSE;2.12GW
RMSE (% Observation);13.42%
RMSE (% Installed cap.);3.17%
Syst. Error;-0.29GW
Syst. Error (% Installed cap.);-0.43%
Syst. Error (% Observation);-1.83%
% between percentiles;95.36%
Pearson's r;0.98
Capacity factor (% Installed cap.);23.59

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Wind power percentile 10 forecast Meteologica Germany National (GW);Wind power forecast Meteologica Germany National (GW);Wind power percentile 90 forecast Meteologica Germany National (GW);Wind power observation Germany National (GW)
01/01/2023 00:00;01/01/2023 01:00;34.86;38.53;42.53;31.20
01/01/2023 01:00;01/01/2023 02:00;34.62;38.30;42.35;32.82
01/01/2023 02:00;01/01/2023 03:00;34.31;38.07;42.28;33.20
01/01/2023 03:00;01/01/2023 04:00;33.81;37.67;42.01;29.90
01/01/2023 04:00;01/01/2023 05:00;33.24;37.29;41.79;29.59
01/01/2023 05:00;01/01/2023 06:00;32.66;37.00;41.76;29.69
01/01/2023 06:00;01/01/2023 07:00;31.95;36.63;41.75;29.37
01/01/2023 07:00;01/01/2023 08:00;31.15;36.14;41.55;30.24
01/01/2023 08:00;01/01/2023 09:00;30.33;35.56;41.21;29.17
01/01/2023 09:00;01/01/2023 10:00;29.08;34.78;40.79;27.97
01/01/2023 10:00;01/01/2023 11:00;27.19;33.64;40.15;26.86
01/01/2023 11:00;01/01/2023 12:00;25.22;32.21;39.14;25.96
01/01/2023 12:00;01/01/2023 13:00;22.96;30.35;37.70;24.44
01/01/2023 13:00;01/01/2023 14:00;20.18;28.11;36.01;24.02
01/01/2023 14:00;01/01/2023 15:00;17.71;25.90;34.03;26.92
01/01/2023 15:00;01/01/2023 16:00;16.02;24.05;32.03;28.81
01/01/2023 16:00;01/01/2023 17:00;15.16;23.00;30.78;27.58
01/01/2023 17:00;01/01/2023 18:00;14.86;22.73;30.57;26.25
01/01/2023 18:00;01/01/2023 19:00;15.02;22.86;30.70;25.65
01/01/2023 19:00;01/01/2023 20:00;15.40;23.08;30.76;25.15
01/01/2023 20:00;01/01/2023 21:00;15.64;23.26;30.88;25.06
01/01/2023 21:00;01/01/2023 22:00;15.41;23.24;31.08;25.41
01/01/2023 22:00;01/01/2023 23:00;14.97;23.06;31.15;23.58
01/01/2023 23:00;02/01/2023 00:00;14.71;20.81;27.51;22.92
02/01/2023 00:00;02/01/2023 01:00;14.07;18.61;24.33;21.51
02/01/2023 01:00;02/01/2023 02:00;13.18;18.55;24.99;20.88
02/01/2023 02:00;02/01/2023 03:00;12.85;18.90;26.05;22.07
02/01/2023 03:00;02/01/2023 04:00;13.41;19.89;27.59;23.43
02/01/2023 04:00;02/01/2023 05:00;14.26;21.24;29.33;25.30
02/01/2023 05:00;02/01/2023 06:00;15.06;22.53;30.99;26.63
02/01/2023 06:00;02/01/2023 07:00;15.74;23.49;32.18;28.73
02/01/2023 07:00;02/01/2023 08:00;15.90;23.93;32.78;30.29
02/01/2023 08:00;02/01/2023 09:00;15.73;24.13;33.16;32.06
02/01/2023 09:00;02/01/2023 10:00;15.45;24.12;33.28;32.12
02/01/2023 10:00;02/01/2023 11:00;14.92;23.96;33.28;30.71
02/01/2023 11:00;02/01/2023 12:00;14.16;23.98;33.81;30.29
02/01/2023 12:00;02/01/2023 13:00;13.89;24.19;34.42;30.09
02/01/2023 13:00;02/01/2023 14:00;14.57;24.73;34.86;30.20
02/01/2023 14:00;02/01/2023 15:00;14.78;25.21;35.63;30.51
02/01/2023 15:00;02/01/2023 16:00;14.40;25.16;35.91;29.27
02/01/2023 16:00;02/01/2023 17:00;14.13;24.97;35.81;28.86
02/01/2023 17:00;02/01/2023 18:00;13.80;24.80;35.80;29.02
02/01/2023 18:00;02/01/2023 19:00;13.75;24.68;35.59;29.26
02/01/2023 19:00;02/01/2023 20:00;13.77;24.50;35.22;28.84
02/01/2023 20:00;02/01/2023 21:00;13.86;24.18;34.50;27.96
02/01/2023 21:00;02/01/2023 22:00;14.01;23.93;33.83;26.74
02/01/2023 22:00;02/01/2023 23:00;13.82;23.45;33.05;25.50
02/01/2023 23:00;03/01/2023 00:00;13.67;21.67;29.33;24.43
03/01/2023 00:00;03/01/2023 01:00;13.43;19.78;25.60;23.25
03/01/2023 01:00;03/01/2023 02:00;12.53;18.69;24.35;22.15
03/01/2023 02:00;03/01/2023 03:00;11.34;17.29;22.64;20.64
03/01/2023 03:00;03/01/2023 04:00;10.63;16.15;21.02;19.16
03/01/2023 04:00;03/01/2023 05:00;9.97;15.08;19.65;17.85
03/01/2023 05:00;03/01/2023 06:00;8.82;13.75;18.26;16.35
03/01/2023 06:00;03/01/2023 07:00;7.78;12.56;17.02;15.34
03/01/2023 07:00;03/01/2023 08:00;7.09;11.74;16.15;14.66
