Downloaded on:;23/12/2024 12:09 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.53GW
MAE;2.05%
RMSE;0.71GW
RMSE;2.75%
Syst. Error;-0.01GW
Syst. Error (% Observation);-0.05%
Pearson's r;0.99

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Power demand forecast Meteologica National United Kingdom (GW);Power demand observation National United Kingdom (GW)
01/01/2023 00:00;01/01/2023 01:00;21.39;21.32
01/01/2023 01:00;01/01/2023 02:00;20.47;21.33
01/01/2023 02:00;01/01/2023 03:00;19.68;20.81
01/01/2023 03:00;01/01/2023 04:00;18.61;19.28
01/01/2023 04:00;01/01/2023 05:00;17.67;18.02
01/01/2023 05:00;01/01/2023 06:00;17.16;17.11
01/01/2023 06:00;01/01/2023 07:00;17.22;17.07
01/01/2023 07:00;01/01/2023 08:00;18.37;17.86
01/01/2023 08:00;01/01/2023 09:00;19.04;18.84
01/01/2023 09:00;01/01/2023 10:00;19.93;20.04
01/01/2023 10:00;01/01/2023 11:00;21.95;21.75
01/01/2023 11:00;01/01/2023 12:00;24.01;23.42
01/01/2023 12:00;01/01/2023 13:00;25.40;25.09
01/01/2023 13:00;01/01/2023 14:00;26.74;26.94
01/01/2023 14:00;01/01/2023 15:00;27.10;27.53
01/01/2023 15:00;01/01/2023 16:00;27.66;28.02
01/01/2023 16:00;01/01/2023 17:00;28.72;29.11
01/01/2023 17:00;01/01/2023 18:00;31.16;31.36
01/01/2023 18:00;01/01/2023 19:00;32.26;32.45
01/01/2023 19:00;01/01/2023 20:00;31.10;31.26
01/01/2023 20:00;01/01/2023 21:00;29.53;29.55
01/01/2023 21:00;01/01/2023 22:00;27.94;28.22
01/01/2023 22:00;01/01/2023 23:00;26.12;26.43
01/01/2023 23:00;02/01/2023 00:00;24.21;24.47
02/01/2023 00:00;02/01/2023 01:00;22.11;22.27
02/01/2023 01:00;02/01/2023 02:00;21.80;21.98
02/01/2023 02:00;02/01/2023 03:00;21.62;21.46
02/01/2023 03:00;02/01/2023 04:00;20.62;20.48
02/01/2023 04:00;02/01/2023 05:00;19.84;19.53
02/01/2023 05:00;02/01/2023 06:00;19.15;19.01
02/01/2023 06:00;02/01/2023 07:00;19.85;19.40
02/01/2023 07:00;02/01/2023 08:00;22.05;21.18
02/01/2023 08:00;02/01/2023 09:00;23.50;23.09
02/01/2023 09:00;02/01/2023 10:00;25.41;25.13
02/01/2023 10:00;02/01/2023 11:00;27.45;26.87
02/01/2023 11:00;02/01/2023 12:00;28.47;27.37
02/01/2023 12:00;02/01/2023 13:00;28.58;27.17
02/01/2023 13:00;02/01/2023 14:00;28.99;27.68
02/01/2023 14:00;02/01/2023 15:00;29.30;27.94
02/01/2023 15:00;02/01/2023 16:00;30.19;29.22
02/01/2023 16:00;02/01/2023 17:00;32.16;31.60
02/01/2023 17:00;02/01/2023 18:00;35.72;35.47
02/01/2023 18:00;02/01/2023 19:00;38.42;37.76
02/01/2023 19:00;02/01/2023 20:00;37.40;36.69
02/01/2023 20:00;02/01/2023 21:00;35.19;34.61
02/01/2023 21:00;02/01/2023 22:00;32.83;32.21
02/01/2023 22:00;02/01/2023 23:00;30.20;29.59
02/01/2023 23:00;03/01/2023 00:00;26.99;26.60
03/01/2023 00:00;03/01/2023 01:00;23.86;23.80
03/01/2023 01:00;03/01/2023 02:00;22.34;23.32
03/01/2023 02:00;03/01/2023 03:00;21.91;22.71
03/01/2023 03:00;03/01/2023 04:00;21.02;21.52
03/01/2023 04:00;03/01/2023 05:00;20.25;20.48
03/01/2023 05:00;03/01/2023 06:00;19.68;19.63
03/01/2023 06:00;03/01/2023 07:00;20.57;20.32
03/01/2023 07:00;03/01/2023 08:00;24.27;23.81
03/01/2023 08:00;03/01/2023 09:00;29.14;28.14
03/01/2023 09:00;03/01/2023 10:00;31.73;31.31
03/01/2023 10:00;03/01/2023 11:00;33.53;33.57
03/01/2023 11:00;03/01/2023 12:00;34.10;34.60
03/01/2023 12:00;03/01/2023 13:00;34.85;35.39
03/01/2023 13:00;03/01/2023 14:00;35.34;35.92
03/01/2023 14:00;03/01/2023 15:00;35.24;35.96
03/01/2023 15:00;03/01/2023 16:00;35.06;35.47
03/01/2023 16:00;03/01/2023 17:00;35.34;35.75
03/01/2023 17:00;03/01/2023 18:00;37.06;37.19
03/01/2023 18:00;03/01/2023 19:00;37.91;37.82
03/01/2023 19:00;03/01/2023 20:00;36.87;36.32
03/01/2023 20:00;03/01/2023 21:00;34.81;34.02
03/01/2023 21:00;03/01/2023 22:00;32.18;31.29
03/01/2023 22:00;03/01/2023 23:00;28.81;28.23
03/01/2023 23:00;04/01/2023 00:00;25.84;24.67
04/01/2023 00:00;04/01/2023 01:00;22.70;21.64
04/01/2023 01:00;04/01/2023 02:00;22.28;20.90
04/01/2023 02:00;04/01/2023 03:00;21.63;20.39
04/01/2023 03:00;04/01/2023 04:00;20.32;19.44
04/01/2023 04:00;04/01/2023 05:00;19.45;18.69
04/01/2023 05:00;04/01/2023 06:00;18.86;18.21
04/01/2023 06:00;04/01/2023 07:00;19.67;19.20
04/01/2023 07:00;04/01/2023 08:00;23.73;22.95
04/01/2023 08:00;04/01/2023 09:00;28.74;27.50
04/01/2023 09:00;04/01/2023 10:00;31.03;30.16
04/01/2023 10:00;04/01/2023 11:00;32.39;31.32
04/01/2023 11:00;04/01/2023 12:00;32.21;31.35
04/01/2023 12:00;04/01/2023 13:00;32.10;31.23
04/01/2023 13:00;04/01/2023 14:00;31.83;31.57
04/01/2023 14:00;04/01/2023 15:00;31.70;31.25
04/01/2023 15:00;04/01/2023 16:00;32.04;31.67
04/01/2023 16:00;04/01/2023 17:00;32.94;32.98
04/01/2023 17:00;04/01/2023 18:00;36.06;35.58
04/01/2023 18:00;04/01/2023 19:00;36.86;36.75
04/01/2023 19:00;04/01/2023 20:00;36.06;35.77
04/01/2023 20:00;04/01/2023 21:00;34.40;33.84
