Downloaded on:;23/12/2024 12:06 (Europe/Paris)
Downloaded by user:;dweb
Analysis start date:;01/01/2023
Analysis end date:;01/12/2024
Range:;Day ahead (11:00h)

MAE;0.19GW
MAE (% Observation);13.24%
MAE (% Installed cap.);1.22%
RMSE;0.38GW
RMSE (% Observation);26.93%
RMSE (% Installed cap.);2.49%
Syst. Error;0.11GW
Syst. Error (% Installed cap.);0.70%
Syst. Error (% Observation);7.54%
% between percentiles;71.76%
Pearson's r;0.99
Capacity factor (% Installed cap.);9.23

Timestamp start (Europe/Paris);Timestamp end (Europe/Paris);Photovoltaic percentile 10 forecast Meteologica National United Kingdom (GW);Photovoltaic forecast Meteologica National United Kingdom (GW);Photovoltaic percentile 90 forecast Meteologica National United Kingdom (GW);Photovoltaic observation National United Kingdom (GW)
01/01/2023 00:00;01/01/2023 01:00;0.00;0.00;0.00;0.00
01/01/2023 01:00;01/01/2023 02:00;0.00;0.00;0.00;0.00
01/01/2023 02:00;01/01/2023 03:00;0.00;0.00;0.00;0.00
01/01/2023 03:00;01/01/2023 04:00;0.00;0.00;0.00;0.00
01/01/2023 04:00;01/01/2023 05:00;0.00;0.00;0.00;0.00
01/01/2023 05:00;01/01/2023 06:00;0.00;0.00;0.00;0.00
01/01/2023 06:00;01/01/2023 07:00;0.00;0.00;0.00;0.00
01/01/2023 07:00;01/01/2023 08:00;0.00;0.00;0.00;0.00
01/01/2023 08:00;01/01/2023 09:00;0.00;0.00;0.00;0.00
01/01/2023 09:00;01/01/2023 10:00;0.07;0.09;0.11;0.05
01/01/2023 10:00;01/01/2023 11:00;0.43;0.54;0.65;0.59
01/01/2023 11:00;01/01/2023 12:00;0.93;1.15;1.37;1.13
01/01/2023 12:00;01/01/2023 13:00;1.20;1.49;1.78;1.31
01/01/2023 13:00;01/01/2023 14:00;1.10;1.45;1.80;1.10
01/01/2023 14:00;01/01/2023 15:00;0.71;1.14;1.56;0.77
01/01/2023 15:00;01/01/2023 16:00;0.30;0.60;0.90;0.37
01/01/2023 16:00;01/01/2023 17:00;0.08;0.15;0.23;0.05
01/01/2023 17:00;01/01/2023 18:00;0.01;0.01;0.01;0.00
01/01/2023 18:00;01/01/2023 19:00;0.00;0.00;0.00;0.00
01/01/2023 19:00;01/01/2023 20:00;0.00;0.00;0.00;0.00
01/01/2023 20:00;01/01/2023 21:00;0.00;0.00;0.00;0.00
01/01/2023 21:00;01/01/2023 22:00;0.00;0.00;0.00;0.00
01/01/2023 22:00;01/01/2023 23:00;0.00;0.00;0.00;0.00
01/01/2023 23:00;02/01/2023 00:00;0.00;0.00;0.00;0.00
02/01/2023 00:00;02/01/2023 01:00;0.00;0.00;0.00;0.00
02/01/2023 01:00;02/01/2023 02:00;0.00;0.00;0.00;0.00
